Player,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Position
andrea-belotti,42,85,84,68,79,75,64,56,48,75,69,78,74,81,77,81,83,78,85.0,67,83,31,86,61,77,81,44,23,32,13,7,12,14,7,Forward
marten-de-roon,68,60,75,76,63,69,61,54,73,75,64,74,61,78,73,77,80,86,81.0,77,84,83,67,67,80,83,82,84,79,14,15,7,12,12,Midfielder/Defender
saul-niguez-esclapez,69,73,80,81,76,80,73,60,80,80,69,69,73,79,68,80,80,76,76.0,79,75,79,77,80,68,80,77,78,77,7,13,12,10,9,Midfielder/Defender
bryan-cristante,70,68,76,81,70,76,68,62,85,80,55,53,62,76,54,83,71,88,79.0,77,75,74,76,79,58,78,81,79,72,3,5,3,3,5,Midfielder/Defender
leandro-paredes,77,52,56,85,71,81,83,78,85,85,67,67,69,76,75,86,65,75,77.0,76,87,76,64,86,64,84,78,77,79,9,14,6,9,10,Midfielder/Defender
maximilian-arnold,69,75,58,79,84,78,83,81,82,81,63,66,68,81,67,88,61,81,73.0,87,77,79,76,78,59,79,78,79,74,11,9,11,10,10,Midfielder/Defender
luke-shaw,82,46,76,83,63,78,84,54,72,81,74,77,70,76,78,76,83,72,80.0,56,85,79,77,80,38,84,79,81,78,10,12,13,7,7,Midfielder/Defender
alessio-cragno,15,12,12,31,13,13,11,12,25,21,41,37,37,75,43,55,74,43,55.0,17,33,19,15,42,31,59,20,11,12,82,79,73,77,83,Goal Keeper
arkadiusz-milik,63,84,85,75,82,75,76,84,64,81,55,65,64,76,61,84,79,63,79.0,79,67,36,82,72,79,82,35,34,32,9,16,16,15,6,Forward
edgar-badia-guardiola,14,12,20,30,16,14,19,13,32,18,45,43,53,76,41,58,57,35,55.0,12,42,22,9,45,30,56,26,12,15,78,77,77,78,83,Goal Keeper
tomas-vaclik,15,14,19,28,13,14,17,16,45,20,42,37,47,78,56,55,72,38,72.0,16,29,23,15,67,13,61,20,18,18,78,75,73,82,83,Goal Keeper
james-tarkowski,59,40,82,67,40,60,54,53,73,66,49,60,55,78,53,63,85,68,85.0,38,84,81,43,65,52,78,82,83,81,14,8,12,9,7,Midfielder/Defender
remo-freuler,63,68,41,81,68,78,60,70,80,80,67,69,69,83,64,73,55,89,69.0,75,72,79,78,79,61,83,80,79,73,12,8,9,14,13,Midfielder/Defender
cristiano-biraghi,85,58,70,77,54,76,79,88,75,80,76,76,71,78,75,82,72,81,71.0,80,76,77,74,72,73,80,79,77,74,12,6,14,10,7,Midfielder/Defender
stefan-ortega,18,15,20,40,13,20,16,12,55,38,51,53,42,80,54,65,77,33,73.0,12,29,27,10,66,24,59,29,12,15,76,74,86,80,85,Goal Keeper
hans-vanaken,77,82,83,84,79,78,78,75,80,82,36,50,57,78,40,76,52,88,76.0,75,57,61,84,84,80,86,58,55,50,13,6,9,15,11,Midfielder/Defender
jasper-cillessen,17,10,12,50,19,12,10,10,35,32,56,50,48,80,50,59,71,40,67.0,15,25,25,11,60,21,61,18,12,11,80,79,78,80,76,Goal Keeper
sergio-roberto-carnicer,81,63,70,81,50,78,78,60,78,80,71,77,69,77,73,65,41,88,69.0,66,67,76,69,81,57,76,74,76,74,14,16,11,15,10,Midfielder/Defender
jonathan-viera-ramos,73,77,65,81,65,81,77,79,79,80,84,76,90,77,76,70,62,84,70.0,76,63,66,77,84,74,77,63,63,55,16,16,9,14,9,Midfielder/Defender
kevin-kampl,72,62,34,87,68,81,80,75,80,82,79,65,90,81,82,74,67,86,47.0,72,66,75,70,80,64,82,70,60,62,13,11,7,6,16,Midfielder/Defender
andy-delort,71,81,82,74,82,76,69,69,64,74,79,84,71,75,72,89,78,78,85.0,77,80,27,81,75,72,78,32,37,25,10,14,10,8,11,Forward
bernd-leno,9,9,13,50,10,16,9,8,48,35,55,52,52,75,44,55,71,43,70.0,14,28,25,7,56,23,63,27,15,18,81,78,73,79,83,Goal Keeper
alex-sandro-lobo-silva,82,55,73,75,68,79,78,56,66,81,71,79,73,77,76,78,78,79,77.0,72,80,75,69,70,60,78,74,79,77,7,7,9,12,5,Midfielder/Defender
francis-coquelin,69,65,63,84,60,80,71,53,81,81,69,68,73,81,77,75,80,76,80.0,72,85,78,77,80,52,78,80,79,79,9,9,8,10,15,Midfielder/Defender
matteo-darmian,75,55,69,76,59,74,69,35,71,76,68,73,77,81,77,69,77,77,62.0,56,74,81,73,65,45,79,82,83,79,6,7,7,12,7,Midfielder/Defender
fernando-muslera,15,10,12,44,10,25,14,10,47,27,50,52,64,78,62,54,84,40,68.0,10,32,23,13,62,24,60,12,16,16,76,80,72,83,77,Goal Keeper
georginio-wijnaldum,71,70,78,80,67,79,78,73,79,81,69,69,82,78,88,73,80,89,73.0,70,75,80,79,79,74,80,76,78,70,16,6,14,12,6,Midfielder/Defender
etienne-capoue,69,72,73,83,69,78,69,71,79,80,55,52,49,80,63,80,74,79,80.0,75,75,84,76,79,54,76,77,79,76,12,11,11,14,12,Midfielder/Defender
david-ospina,11,10,15,36,12,12,10,13,32,32,34,34,44,77,50,58,75,29,38.0,12,20,25,16,50,26,57,11,13,12,81,76,77,80,82,Goal Keeper
jose-luis-sanmartin-mato,58,83,90,78,75,76,73,65,58,80,65,63,63,80,32,83,91,68,85.0,75,67,25,83,72,87,73,23,27,20,11,11,8,15,7,Forward
antonio-candreva,79,74,55,82,79,81,77,73,80,83,73,67,79,75,80,88,36,80,55.0,83,66,67,80,80,69,73,61,63,53,10,4,14,4,14,Midfielder/Defender
marek-hamsik,79,73,74,84,77,80,80,70,82,82,61,67,76,78,72,82,73,71,75.0,81,60,72,81,83,70,85,73,68,65,8,6,4,14,14,Midfielder/Defender
jose-miguel-da-rocha-fonte,47,42,84,74,36,61,51,32,69,68,31,31,37,83,48,60,72,76,82.0,43,83,81,48,63,43,79,82,82,77,7,11,16,10,6,Midfielder/Defender
andrea-consigli,10,10,10,31,19,10,15,15,27,23,48,34,57,75,40,54,80,31,51.0,19,11,15,10,46,21,63,10,17,19,80,81,72,78,81,Goal Keeper
joao-filipe-moutinho,79,68,66,86,73,75,82,78,84,85,54,34,72,73,85,76,69,75,55.0,73,72,71,68,83,70,90,73,71,69,13,15,15,13,13,Midfielder/Defender
hector-herrera,65,72,61,81,60,76,69,68,79,79,65,66,70,79,67,81,75,86,81.0,78,83,79,80,78,67,77,78,79,67,6,10,15,7,16,Midfielder/Defender
guillermo-ochoa,15,12,19,37,16,10,14,17,37,20,50,50,57,70,43,53,79,38,60.0,11,19,23,16,50,16,60,21,10,12,82,73,70,81,84,Goal Keeper
george-goodman,82,41,68,73,34,80,86,70,66,76,82,84,76,73,79,73,71,83,59.0,68,61,75,70,70,53,78,74,79,77,11,15,10,9,11,Midfielder/Defender
moe-bumbercatch,70,58,49,85,46,81,69,61,80,82,88,87,85,76,80,67,61,80,49.0,61,69,76,68,80,66,78,76,75,68,10,11,7,14,7,Midfielder/Defender
pablo-martin-paez-gavira,69,68,42,83,49,83,74,47,79,82,77,75,86,79,90,56,70,79,55.0,67,82,74,78,81,51,74,59,72,66,8,10,11,7,13,Forward
yeremy-jesus-pino-santos,77,79,46,78,67,81,73,60,74,80,78,77,80,74,79,68,34,70,33.0,69,48,29,79,76,54,60,31,48,41,9,7,14,6,9,Midfielder/Defender
goncalo-bernardo-inacio,30,23,77,78,45,49,29,27,76,73,78,81,65,77,55,67,72,76,78.0,28,77,78,48,68,40,75,81,82,79,6,6,7,10,7,Midfielder/Defender
vitor-machado-ferreira,71,66,39,85,62,82,62,61,83,84,76,70,90,74,84,69,56,75,45.0,71,53,73,72,80,73,82,68,72,68,12,13,8,5,5,Midfielder/Defender
matheus-luiz-nunes,59,71,53,79,57,84,74,58,77,82,83,84,76,83,76,77,54,86,74.0,68,76,78,79,77,59,79,76,75,74,13,10,12,12,13,Midfielder/Defender
anssumane-fati,69,82,66,73,69,82,75,73,69,80,90,87,89,77,82,74,75,63,48.0,72,48,19,80,74,74,82,23,32,28,6,9,8,10,7,Forward
giacomo-raspadori,54,80,69,78,76,80,69,60,58,83,85,77,77,78,86,77,60,65,54.0,75,59,18,81,76,76,77,24,23,21,13,14,7,7,9,Forward
wesley-fofana,39,29,74,70,40,61,39,38,66,67,69,80,61,76,58,48,78,67,80.0,37,79,84,42,47,48,70,79,82,80,14,12,9,14,6,Midfielder/Defender
eduardo-camavinga,70,62,64,84,59,80,72,59,81,83,75,76,81,79,78,73,70,81,78.0,69,78,77,73,77,62,82,75,80,79,12,6,8,12,12,Midfielder/Defender
martin-zubimendi-ibanez,65,67,65,82,42,69,62,47,77,79,65,54,71,84,73,58,78,79,66.0,69,66,83,79,78,45,82,78,83,78,7,6,12,14,13,Midfielder/Defender
enzo-fernandez,66,66,66,83,75,77,74,69,81,80,77,72,76,77,77,83,70,83,79.0,78,82,70,79,82,70,80,72,75,74,8,6,7,8,10,Midfielder/Defender
maxence-caqueret,59,55,48,81,49,80,66,52,77,80,75,71,86,78,84,63,42,85,56.0,59,83,80,69,79,53,78,75,81,71,8,5,12,5,15,Midfielder/Defender
boulaye-dia,50,82,75,74,71,78,56,49,54,78,80,86,68,76,67,79,76,73,83.0,69,62,23,80,65,77,63,28,17,14,11,10,15,14,10,Forward
samuel-chukwueze,73,74,44,73,70,87,73,58,60,81,92,86,86,74,83,79,67,70,66.0,74,47,33,76,70,55,72,40,32,33,13,7,9,7,6,Midfielder/Defender
ryan-gravenberch,75,76,58,80,69,84,74,69,78,85,76,78,80,73,77,78,72,81,75.0,79,52,74,74,80,58,76,69,69,59,12,8,6,11,12,Midfielder/Defender
youssouf-fofana,66,64,58,78,46,77,66,56,77,78,68,68,70,77,75,76,59,83,75.0,69,77,78,74,77,64,76,74,80,74,12,7,12,5,9,Midfielder/Defender
jean-clair-todibo,49,44,80,78,35,66,52,41,70,72,68,81,55,76,55,60,76,73,81.0,45,72,80,45,56,52,78,80,80,78,7,13,11,8,13,Midfielder/Defender
vladimir-coufal,80,50,71,76,61,73,75,42,73,76,74,67,74,78,79,66,85,85,76.0,59,86,76,69,69,49,72,78,82,78,13,12,12,6,13,Midfielder/Defender
jonathan-david,67,82,72,77,73,78,58,58,69,78,81,85,75,76,70,77,86,83,77.0,74,37,33,82,73,75,81,29,29,19,7,7,11,7,7,Forward
orkun-kokcu,77,69,41,84,64,77,78,74,82,83,75,69,81,73,80,73,60,84,70.0,76,83,67,72,83,73,77,66,71,65,9,6,10,6,12,Midfielder/Defender
luis-milla-manzanares,72,70,48,81,51,72,71,73,77,79,74,66,70,79,77,76,71,85,70.0,75,70,80,79,78,73,79,76,81,74,12,13,8,10,10,Midfielder/Defender
unai-nunez-gestoso,34,18,80,77,21,40,27,22,55,70,65,74,34,78,58,44,79,68,82.0,17,79,77,26,34,31,62,79,80,81,9,9,15,6,11,Midfielder/Defender
amine-gouiri,76,81,68,79,78,82,78,76,69,80,81,75,76,77,72,81,69,72,71.0,82,61,44,82,76,78,78,45,41,32,6,12,8,9,7,Forward
ridle-baku,79,74,49,75,63,83,79,48,69,78,83,82,82,78,90,77,73,91,73.0,73,74,74,76,75,60,76,74,73,75,12,8,7,10,9,Midfielder/Defender
nemanja-maksimovic,65,74,73,79,49,75,63,72,78,78,52,51,59,80,54,72,76,83,75.0,76,73,81,79,79,51,76,76,79,70,14,10,15,15,13,Midfielder/Defender
weston-mckennie,71,70,85,79,75,81,77,63,77,81,81,83,75,77,69,76,92,85,79.0,73,81,76,83,78,61,77,74,79,77,7,9,12,9,11,Midfielder/Defender
conor-gallagher,69,77,49,77,63,78,65,70,76,82,69,78,68,80,68,79,58,93,64.0,78,79,71,78,78,55,72,62,75,67,7,6,15,9,9,Midfielder/Defender
tyrell-malacia,70,50,58,76,59,78,50,48,59,74,84,85,84,74,89,65,86,83,72.0,62,77,77,58,60,46,70,73,81,81,9,9,12,8,8,Midfielder/Defender
pervis-estupinan,79,48,75,79,38,73,59,36,62,72,78,79,74,74,73,41,72,76,75.0,42,74,76,52,56,69,65,69,80,79,14,7,14,7,7,Midfielder/Defender
randal-kolo-muani,45,79,78,76,65,85,69,54,61,81,89,84,81,76,51,73,82,68,69.0,63,32,38,78,65,62,77,32,32,31,7,14,15,8,5,Forward
juan-foyth,70,43,75,76,43,69,61,47,69,77,71,73,69,76,71,56,73,73,78.0,42,79,79,53,65,47,67,80,82,79,8,15,7,14,9,Midfielder/Defender
min-jae-kim,35,23,76,73,24,57,36,23,67,66,75,84,65,77,65,51,80,77,88.0,37,82,78,48,57,30,68,80,82,78,13,7,11,14,11,Midfielder/Defender
owen-wijndal,77,48,60,80,61,76,76,44,74,80,85,84,82,78,80,65,56,85,68.0,49,78,74,72,77,42,75,73,76,74,8,12,6,9,13,Midfielder/Defender
luiz-felipe-ramos-marchi,53,22,74,73,32,69,31,35,66,72,69,75,65,78,46,44,80,55,78.0,26,81,82,28,58,44,64,81,80,81,14,8,13,10,9,Midfielder/Defender
francisco-jose-beltran-peinado,72,53,60,84,55,78,54,55,82,77,62,58,77,75,78,61,57,67,63.0,60,68,78,63,79,49,66,77,81,80,14,11,8,13,9,Midfielder/Defender
brais-mendez-portela,78,81,52,80,65,81,74,75,77,82,69,69,69,78,37,73,64,60,68.0,75,59,55,79,83,72,80,49,65,54,10,5,10,12,8,Midfielder/Defender
cengiz-under,81,77,63,74,70,80,83,68,65,82,82,75,82,78,80,78,42,72,49.0,80,37,29,75,76,73,68,43,33,30,9,13,7,9,8,Forward
lucas-verissimo-da-silva,35,30,81,73,28,59,31,32,72,69,80,82,57,78,56,59,81,74,82.0,45,85,81,25,56,44,73,81,78,77,6,15,15,12,10,Midfielder/Defender
tanguy-ndombele,73,68,56,84,62,88,74,59,79,86,68,64,81,77,86,79,58,52,75.0,74,73,69,70,84,58,86,67,72,69,8,10,13,8,7,Midfielder/Defender
salih-ozcan,62,66,72,78,51,77,59,53,76,76,78,76,78,76,84,65,76,83,80.0,53,84,81,68,74,57,76,75,76,74,13,7,9,9,11,Midfielder/Defender
manuel-lazzari,83,67,44,78,59,82,68,58,75,81,93,91,89,78,89,53,39,86,56.0,57,66,73,74,74,55,76,72,75,69,14,6,11,5,11,Midfielder/Defender
houssem-aouar,69,69,59,82,68,84,80,72,78,85,72,71,82,76,81,69,65,72,66.0,71,68,68,74,82,74,80,66,64,58,14,6,11,7,10,Midfielder/Defender
josip-brekalo,77,76,45,78,70,84,80,77,73,84,84,79,87,76,83,79,63,72,52.0,78,41,30,79,74,64,77,35,42,40,9,7,5,6,14,Forward
jose-diogo-dalot-teixeira,78,52,73,78,44,81,80,52,70,77,80,79,77,75,71,79,85,80,75.0,68,80,75,77,74,47,76,71,77,77,10,6,10,6,8,Midfielder/Defender
emanuel-reynoso,71,65,59,81,48,81,73,77,77,80,77,59,84,78,73,70,62,71,64.0,71,71,60,83,83,61,80,62,57,54,7,11,9,5,9,Forward
marcos-nascimento-teixeira,35,31,70,75,34,69,56,34,72,74,65,68,63,78,62,52,86,89,84.0,29,89,79,25,58,52,76,80,78,76,8,8,8,10,5,Midfielder/Defender
dean-henderson,14,9,13,45,5,13,13,10,48,35,55,56,61,77,56,58,68,32,64.0,6,35,11,8,55,16,60,15,14,14,80,78,77,75,82,Goal Keeper
takehiro-tomiyasu,65,29,74,75,30,69,48,37,70,75,76,72,69,78,70,42,70,79,80.0,28,78,78,58,63,37,72,81,82,79,9,14,6,5,11,Midfielder/Defender
luka-jovic,67,79,79,72,83,78,77,56,61,80,72,76,73,80,78,82,76,73,78.0,75,62,23,81,70,66,76,25,26,16,8,7,12,9,13,Forward
rafael-mir-vicente,69,83,79,74,80,70,64,61,52,75,73,83,62,74,65,83,78,73,85.0,75,69,39,80,64,75,70,42,43,35,12,11,15,10,6,Forward
donyell-malen,71,78,69,75,75,84,76,61,64,83,92,86,86,80,84,85,77,78,74.0,72,62,31,79,77,74,77,29,33,35,7,9,9,10,14,Forward
gonzalo-montiel,74,56,71,74,41,73,59,39,66,74,84,83,82,76,75,65,80,93,72.0,59,87,78,77,70,75,75,76,75,74,6,10,11,5,6,Midfielder/Defender
ludovic-blas,73,72,58,80,77,85,77,69,75,82,78,69,79,73,76,80,66,73,63.0,83,55,66,74,78,74,84,47,64,59,12,9,14,14,15,Forward
matheus-reis-de-lima,74,50,70,73,45,74,69,47,58,75,72,74,72,76,59,60,81,82,83.0,51,82,79,62,60,50,76,80,82,78,6,14,10,7,14,Midfielder/Defender
luan-vagner-boas-macedo,42,81,76,74,76,82,79,60,56,81,86,80,82,85,73,75,87,79,63.0,82,43,20,82,75,74,73,27,20,19,9,12,8,10,9,Forward
bernard-gabriel-prestao-chaves,8,9,7,11,8,18,12,13,12,20,58,62,66,76,43,53,60,23,60.0,12,35,12,5,60,15,64,22,9,16,81,75,71,77,82,Goal Keeper
melvin-luan-parrela-porfirio,52,68,83,78,67,72,64,68,72,74,62,78,67,75,69,75,71,87,82.0,70,84,72,67,72,72,76,82,84,77,15,7,16,9,8,Midfielder/Defender
everton-jorge-andrade-zanon,75,58,59,78,58,75,48,73,75,77,68,66,76,78,71,72,71,89,68.0,64,81,79,54,73,61,68,80,81,77,9,9,14,15,8,Midfielder/Defender
adnan-claudiano-vidual-machado,78,47,71,75,49,68,56,58,63,74,85,82,73,76,66,57,57,81,71.0,54,62,74,66,66,55,67,75,79,74,9,10,6,6,7,Midfielder/Defender
ronaldo-diego-essler-domingues,78,45,60,76,55,76,54,49,59,74,90,89,87,80,90,78,67,76,44.0,68,73,75,69,68,49,76,75,77,76,13,13,16,8,9,Midfielder/Defender
emelvin-william-anjos-rochedo,10,8,11,18,8,9,9,18,16,21,41,42,34,82,41,58,67,29,79.0,7,34,23,20,50,14,53,20,17,13,79,75,77,83,74,Goal Keeper
stefano-sensi,78,53,45,88,59,84,81,81,83,88,79,75,86,72,91,69,68,65,50.0,74,71,70,62,86,73,78,61,69,74,10,6,8,11,13,Midfielder/Defender
ezequiel-avila,59,80,74,71,79,79,58,57,62,77,75,84,72,78,86,85,73,76,86.0,76,89,38,77,68,72,72,38,46,41,11,6,6,10,14,Forward
marcus-thuram,74,80,77,74,70,82,66,48,62,78,78,89,73,78,57,81,71,79,85.0,73,50,50,80,76,70,75,43,49,37,11,13,14,9,15,Forward
nelson-cabral-semedo,77,50,58,76,42,80,63,34,65,80,84,83,80,79,79,74,80,77,68.0,58,81,77,73,64,38,79,74,79,76,16,12,10,14,12,Midfielder/Defender
nuno-miguel-gomes-dos-santos,79,75,59,74,84,81,79,72,71,80,83,80,81,79,72,86,57,82,60.0,81,74,70,76,74,71,75,60,61,50,14,7,8,9,15,Forward
oleksandr-zinchenko,81,58,70,81,61,80,81,76,78,82,75,62,78,78,78,77,72,75,63.0,71,74,77,75,78,59,80,78,78,76,15,11,13,11,11,Midfielder/Defender
ezri-konsa,51,34,78,74,35,70,37,38,72,74,72,82,63,80,69,58,78,72,78.0,32,75,79,50,58,38,79,83,80,79,14,8,11,13,9,Midfielder/Defender
agustin-rossi,17,14,19,35,17,21,29,21,33,26,39,43,35,79,37,54,62,35,76.0,19,24,25,16,52,23,53,27,21,17,80,76,72,79,80,Goal Keeper
matty-cash,77,67,49,73,48,75,66,48,71,74,79,81,78,78,74,77,77,87,68.0,64,82,76,71,67,44,72,77,77,78,15,16,13,13,8,Midfielder/Defender
pablo-fornals-malla,77,71,50,81,72,79,71,70,78,83,68,66,76,75,75,77,50,84,67.0,78,72,71,76,80,55,77,70,72,71,9,11,12,7,15,Forward
federico-dimarco,83,59,69,76,77,76,82,78,77,77,78,77,74,76,84,65,64,78,65.0,72,68,77,74,67,66,69,74,77,74,9,8,12,7,7,Midfielder/Defender
nordi-mukiele,72,40,73,72,39,72,69,33,70,74,77,79,67,73,65,67,90,79,79.0,52,83,81,60,64,45,72,80,83,81,10,7,14,11,15,Midfielder/Defender
nicolas-pepe,76,76,57,75,70,85,81,79,66,81,87,88,86,74,75,80,66,66,68.0,76,43,33,77,74,85,75,36,34,30,11,14,11,6,8,Midfielder/Defender
alexandr-golovin,75,70,42,79,70,83,80,79,74,82,76,78,86,77,77,78,65,80,56.0,75,76,71,76,79,52,80,45,72,66,12,14,14,10,16,Midfielder/Defender
david-garcia-zubiria,61,35,85,80,37,60,40,38,72,77,60,61,45,75,57,47,90,69,76.0,25,78,79,51,52,44,67,78,81,82,11,16,7,7,8,Midfielder/Defender
ellyes-skhiri,67,73,75,77,60,74,72,55,71,77,65,70,74,78,64,75,76,91,67.0,72,77,85,68,67,58,75,80,77,73,15,14,8,14,14,Midfielder/Defender
alex-meret,15,17,19,29,20,16,20,21,22,22,41,48,37,74,48,53,68,29,65.0,17,22,22,20,21,21,67,10,21,12,79,75,70,79,82,Goal Keeper
ramy-bensebaini,80,69,81,77,57,77,67,62,68,77,72,78,65,75,67,68,84,79,78.0,60,80,76,65,63,84,73,72,78,80,6,13,14,7,14,Midfielder/Defender
adam-marusic,76,56,76,71,68,75,76,54,55,76,80,88,64,76,77,79,81,82,79.0,77,74,74,69,60,58,69,74,75,75,8,9,7,10,10,Midfielder/Defender
jonas-omlin,24,17,24,45,15,27,21,16,35,31,52,51,32,74,51,55,75,35,72.0,18,22,25,15,48,27,55,20,21,24,80,75,73,76,82,Goal Keeper
julian-weigl,59,65,65,84,57,76,63,46,83,80,67,52,76,82,65,68,68,85,68.0,61,83,80,69,79,52,83,81,81,80,6,14,16,11,7,Midfielder/Defender
donny-van-de-beek,65,75,69,80,80,75,78,65,77,84,67,67,72,76,69,82,70,69,72.0,78,76,73,78,79,61,84,70,72,71,7,12,8,10,14,Midfielder/Defender
pau-lopez-sabata,24,19,15,63,17,18,23,21,55,43,45,52,40,63,57,58,71,42,52.0,18,39,16,20,68,25,62,19,20,11,80,79,77,81,81,Goal Keeper
davinson-sanchez,36,44,78,73,32,62,31,27,67,70,68,81,61,78,58,66,76,68,81.0,44,85,80,34,48,44,77,78,79,84,9,7,10,6,15,Midfielder/Defender
renato-tapia,65,62,73,78,64,66,65,54,75,71,69,67,66,73,77,78,76,86,86.0,60,79,77,68,69,68,70,76,84,80,16,14,7,15,8,Midfielder/Defender
mattia-zaccagni,71,73,66,78,66,85,67,51,75,82,85,80,86,77,84,75,46,73,63.0,72,61,58,78,76,61,71,55,58,52,13,16,14,8,7,Forward
munir-el-haddadi,73,79,77,80,80,82,81,67,62,83,80,74,83,78,80,78,66,70,64.0,77,58,25,78,76,66,80,38,27,25,9,12,6,13,16,Midfielder/Defender
dakonam-djene,60,29,76,75,22,50,51,48,69,71,68,66,69,80,66,67,79,70,77.0,29,87,81,49,42,41,73,80,79,78,7,15,7,10,10,Midfielder/Defender
davide-zappacosta,81,59,69,75,69,76,74,59,68,74,77,79,71,73,68,75,72,81,66.0,72,75,76,72,68,59,73,74,77,78,11,9,8,6,11,Midfielder/Defender
lucas-zelarayan,76,72,54,79,74,82,82,89,74,84,72,71,88,76,84,79,80,74,64.0,84,56,44,77,78,67,70,50,43,35,8,9,11,6,10,Forward
franco-armani,18,11,19,35,18,16,15,16,29,37,41,45,37,77,39,52,65,35,81.0,17,43,21,17,54,20,53,15,13,19,78,74,69,80,85,Goal Keeper
sardar-azmoun,64,77,84,77,79,77,74,50,63,81,79,77,77,81,76,77,90,68,77.0,72,67,34,82,77,55,79,39,33,32,6,10,14,9,15,Forward
federico-bernardeschi,81,61,53,81,76,84,83,80,70,83,77,77,82,69,79,80,50,73,69.0,82,54,64,73,81,81,78,64,59,59,14,15,10,13,12,Midfielder/Defender
nicolae-stanciu,78,73,66,81,70,80,84,85,83,81,79,70,90,78,90,77,67,83,61.0,78,69,60,75,82,68,78,62,63,61,14,7,13,10,12,Midfielder/Defender
ruben-garcia-santos,80,79,56,80,59,79,77,79,79,80,84,72,81,73,86,76,65,64,46.0,78,58,38,74,78,69,67,45,48,41,9,14,13,14,10,Midfielder/Defender
chancel-mbemba,55,45,79,68,37,63,30,28,66,65,70,74,67,79,64,76,90,80,80.0,42,81,78,52,43,41,70,79,82,80,9,14,16,7,7,Midfielder/Defender
rachid-ghezzal,84,71,56,83,62,82,84,74,81,82,73,71,82,74,73,72,54,73,59.0,77,48,27,76,81,75,75,25,24,23,12,6,15,7,15,Forward
nathan-ake,63,48,78,77,52,67,62,59,73,74,80,72,67,77,68,63,89,71,78.0,56,72,80,51,66,53,76,78,82,79,10,7,7,16,10,Midfielder/Defender
clinton-mukoni-mata-pedro-lourenco,62,53,71,73,46,72,71,70,71,72,79,85,86,77,70,78,90,93,73.0,67,80,78,67,64,49,78,78,79,78,10,10,7,10,10,Midfielder/Defender
adnan-januzaj,78,72,42,80,70,86,80,76,76,82,79,74,84,75,75,75,61,62,60.0,73,41,36,75,79,60,76,30,23,22,15,10,11,12,7,Forward
berat-djimsiti,53,36,83,68,32,34,42,30,68,68,67,75,44,78,51,52,57,79,83.0,30,82,81,55,56,38,75,83,82,78,10,6,13,10,10,Midfielder/Defender
abdoulaye-doucoure,69,75,69,81,68,79,44,52,77,81,66,67,65,79,67,84,74,89,81.0,77,78,81,77,75,54,77,76,80,76,15,12,12,15,14,Midfielder/Defender
matheus-lima-magalhaes,15,12,14,27,13,12,21,12,36,22,44,47,45,75,48,58,63,32,71.0,15,19,26,12,52,13,46,16,20,15,82,75,77,77,82,Goal Keeper
leandro-trossard,77,78,65,77,74,81,82,69,74,78,89,76,92,72,85,78,78,76,60.0,79,47,18,77,76,75,82,30,31,18,14,8,11,7,7,Midfielder/Defender
manuel-trigueros-munoz,75,70,71,80,65,74,78,69,79,79,47,52,69,79,67,78,69,69,61.0,80,69,73,77,80,65,76,69,77,69,9,14,12,7,8,Midfielder/Defender
ben-davies,71,58,73,78,48,70,72,48,75,77,68,67,64,83,69,65,78,73,70.0,52,81,81,60,65,54,76,82,81,80,11,7,6,7,14,Midfielder/Defender
samuel-umtiti,61,51,78,76,65,64,72,62,73,72,61,65,58,75,64,83,82,55,82.0,70,79,80,51,58,59,74,79,79,77,15,10,14,12,15,Midfielder/Defender
denis-suarez-fernandez,75,71,49,84,68,82,82,70,80,81,72,72,81,81,76,74,57,61,54.0,73,47,70,78,85,63,75,69,65,49,10,14,10,7,7,Midfielder/Defender
mario-rui-silva-duarte,79,42,60,76,57,78,76,72,75,78,84,79,88,76,87,72,90,83,50.0,73,73,76,64,70,60,71,74,75,75,13,5,9,8,14,Midfielder/Defender
alejandro-pozuelo-melero,74,70,54,82,68,80,78,74,75,81,69,59,77,80,85,75,61,79,64.0,76,59,55,77,88,76,84,54,55,36,10,8,14,10,8,Forward
hector-bellerin-moruno,78,52,60,77,41,77,63,50,59,78,79,83,75,77,78,52,65,72,57.0,43,72,78,67,66,62,70,74,77,78,8,14,14,13,12,Midfielder/Defender
alessandro-florenzi,76,73,70,83,84,75,71,71,76,84,79,74,86,77,82,82,72,75,50.0,81,66,77,69,80,73,79,76,74,70,9,8,10,11,10,Midfielder/Defender
thorgan-hazard,78,72,42,80,76,83,82,79,74,82,78,72,86,80,87,77,60,75,63.0,75,57,63,77,78,79,78,58,45,53,6,9,7,7,8,Midfielder/Defender
karim-bellarabi,78,74,51,72,73,83,72,58,62,81,85,87,78,77,78,82,75,69,71.0,77,75,43,75,75,57,80,39,33,35,10,12,7,11,10,Midfielder/Defender
jesus-joaquin-fernandez-saez,80,72,50,81,72,84,87,81,75,85,75,72,79,78,82,78,44,66,50.0,84,38,20,75,82,72,77,48,23,18,15,15,9,8,9,Forward
